Phylum	Class	Order	Family	Genus	Species
Rhodophyta	Florideophyceae	Gigartinales	Kallymeniaceae	Callophyllis	Callophyllis laingiana
Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina	Corallina caespitosa
Rhodophyta	Florideophyceae	Gelidiales	Gelidiaceae	Gelidium	Gelidium galapagense
Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Gredgaria	Gredgaria maugeana
Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Jania	Jania verrucosa
Rhodophyta	Florideophyceae	Rhodymeniales	Rhodymeniaceae	Rhodymenia	Rhodymenia leptophylla
Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Schizoseris	Schizoseris dichotoma
Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Ululania	Ululania stellata
Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Porphyra	
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Gigartinales	Phyllophoraceae	Schottera	
Rhodophyta	Florideophyceae	Ceramiales			
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Gigartinales	Kallymeniaceae	Callophyllis	
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Gigartinales	Peyssonneliaceae	Peyssonnelia	
Rhodophyta	Florideophyceae	Gigartinales	Chondrymeniaceae		
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae		
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Gigartinales	Peyssonneliaceae		
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae		
Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae		
Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae		
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Ceramiales			
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Hapalidiales	Mesophyllumaceae	Mesophyllum	
Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae		
Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	
Rhodophyta	Florideophyceae	Ceramiales			
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae				
Rhodophyta	Florideophyceae	Nemaliales	Scinaiaceae	Scinaia	
