Phylum,Class,Order,Family,Genus,Species,Species name
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Stomacontion,hurleyi,Stomacontion hurleyi
Arthropoda,Malacostraca,Amphipoda,Sebidae,Seba,typica,Seba typica
Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,equilibra,Caprella equilibra
Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,socialis,Alpheus socialis
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,indet.,,
Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrocheles,spinosus,Petrocheles spinosus
Arthropoda,Malacostraca,Decapoda,Xanthidae,Pilumnus,novaezelandiae,Pilumnus novaezelandiae
Brachiopoda,Articulata,Terebratulida,Terebratellidae,Terebratella,inconspicua,Terebratella inconspicua
Bryozoa,Stenolaemata,Cyclostomata,Hastingsiidae,Hastingsia,,
Bryozoa,Stenolaemata,Cyclostomata,Lichenoporidae,,,
Bryozoa,Stenolaemata,Cyclostomata,Mecynoeciidae,Mecynoecia,purpurascens,Mecynoecia purpurascens
Bryozoa,Stenolaemata,Cyclostomata,Tubuliporidae,Platonea,cf. expansa,Platonea expansa
Bryozoa,Stenolaemata,Cyclostomata,Tubuliporidae,Tubulipora,connata,Tubulipora connata
Bryozoa,Stenolaemata,Cyclostomata,Tubuliporidae,Tubulipora,sp,
Bryozoa,Stenolaemata,Cyclostomata,Theonoidae,Telopora,sp. 1,
Bryozoa,Stenolaemata,Cyclostomata,Theonoidae,Telopora,sp. 2,
Bryozoa,Gymnolaemata,Cheilostomata,Flustridae,Gregarinidra,serrata,Gregarinidra serrata
Bryozoa,Gymnolaemata,Cheilostomata,Chaperiidae,Chaperiopsis,cervicornis,Chaperiopsis cervicornis
Bryozoa,Gymnolaemata,Cheilostomata,Calloporidae,Foveolaria,cyclops,Foveolaria cyclops
Bryozoa,Gymnolaemata,Cheilostomata,Calloporidae,Retevirgula,acuta,Retevirgula acuta
