"","E01-P1","E01-P2","E02-P1","MTB01","MTB02","MTB03","MTB04","MTB05","MTB05-A-01-PP","MTB05-A-02-PP","MTB05-B-01-PP","MTB05-B-02-PP","MTB06","MTB07","MTB08","MTB09","MTB09-A-01-P1","MTB09-A-01-P2","MTB09-A-01-PP","MTB09-A-02-PP","MTB09-AB-01-PP","MTB09-AB-02-PP","MTB09-B-01-P1","MTB09-B-01-P2","MTB09-B-01-PP","MTB09-B-02-PP","MTB09-NS-01-P1","MTB09-NS-01-P2","MTB09-NS-01-PP","MTB09-NS-02-PP","MTB10","MTB11","MTB11-A-01-PP","MTB11-A-02-PP","MTB11-AB-01-PP","MTB11-AB-02-PP","MTB11-B-01-PP","MTB11-B-02-PP","MTB11-NS-01-PP","MTB11-NS-02-PP","MTB12","MTB13","MTB14","MTB14-A-01-PP","MTB14-A-02-PP","MTB14-B-01-PP","MTB14-B-02-PP","MTB15","MTB16","MTB17","MTB18","MTB19","MTB20","MTB20-A-01-PP","MTB20-A-02-PP","MTB20-B-01-PP","MTB20-B-02-PP","MTB21","MTB21-A-01-P1","MTB21-A-01-P2","MTB21-A-01-PP","MTB21-A-02-PP","MTB21-AB-01-PP","MTB21-AB-02-PP","MTB21-B-01-P1","MTB21-B-01-P2","MTB21-B-01-PP","MTB21-B-02-PP","MTB21-NS-01-PP","MTB21-NS-02-P1","MTB21-NS-02-P2","MTB21-NS-02-PP","MTB22","MTB23","MTB24","MTB25","MTB25-2","MTB26","MTB27","MTB27-A-01-PP","MTB27-A-02-PP","MTB27-B-01-PP","MTB27-B-02-PP","MTB28","MTB29","MTB30","MTB30-A-01-PP","MTB30-A-02-PP","MTB30-B-01-PP","MTB30-B-02-PP","P1","P2","P3","P4","P5","SW-P1"
"00f86f94228dd1b03378037f038f154b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,55,0,48,23,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0107d6df34e79b6ff489d93f45aa0893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"011ca22cbdaa3b1b6ecbc7c5959ad554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"011f9cfae5bf5e417f4151b200ea57af",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"012300f59840a4fe2619037e1e7670e2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"0125814494abc2d7059b8096c9a37869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0135f53b1bb38d0009ea9174abcaa449",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0152fa6d2a68369df4ee9d8ecd2177c9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01592beef3b5be210db9b1dcaff513d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0167d029da7499333fa21d011f5fcdfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
